Units,scenario,year,value
PPM,Reference,1975,0
PPM,Reference,1976,334.97
PPM,Reference,1977,336.335
PPM,Reference,1978,337.769
PPM,Reference,1979,339.249
PPM,Reference,1980,340.738
PPM,Reference,1981,342.148
PPM,Reference,1982,343.482
PPM,Reference,1983,344.741
PPM,Reference,1984,345.996
PPM,Reference,1985,347.319
PPM,Reference,1986,348.696
PPM,Reference,1987,350.124
PPM,Reference,1988,351.598
PPM,Reference,1989,353.139
PPM,Reference,1990,354.699
PPM,Reference,1991,356.182
PPM,Reference,1992,357.664
PPM,Reference,1993,358.931
PPM,Reference,1994,360.133
PPM,Reference,1995,361.45
PPM,Reference,1996,362.886
PPM,Reference,1997,364.404
PPM,Reference,1998,366.294
PPM,Reference,1999,367.917
PPM,Reference,2000,369.501
PPM,Reference,2001,371.171
PPM,Reference,2002,372.769
PPM,Reference,2003,374.478
PPM,Reference,2004,376.248
PPM,Reference,2005,378.246
PPM,Reference,2006,380.223
PPM,Reference,2007,382.356
PPM,Reference,2008,384.623
PPM,Reference,2009,387.019
PPM,Reference,2010,389.536
PPM,Reference,2011,392.173
PPM,Reference,2012,394.976
PPM,Reference,2013,397.846
PPM,Reference,2014,400.787
PPM,Reference,2015,403.793
PPM,Reference,2016,406.863
PPM,Reference,2017,409.395
PPM,Reference,2018,411.926
PPM,Reference,2019,414.456
PPM,Reference,2020,416.987
PPM,Reference,2021,419.519
PPM,Reference,2022,422.054
PPM,Reference,2023,424.841
PPM,Reference,2024,427.695
PPM,Reference,2025,430.618
PPM,Reference,2026,433.61
PPM,Reference,2027,436.573
PPM,Reference,2028,439.565
PPM,Reference,2029,442.583
PPM,Reference,2030,445.629
PPM,Reference,2031,448.701
PPM,Reference,2032,451.773
PPM,Reference,2033,454.859
PPM,Reference,2034,457.961
PPM,Reference,2035,461.08
PPM,Reference,2036,464.215
PPM,Reference,2037,467.322
PPM,Reference,2038,470.433
PPM,Reference,2039,473.549
PPM,Reference,2040,476.67
PPM,Reference,2041,479.797
PPM,Reference,2042,482.898
PPM,Reference,2043,486.003
PPM,Reference,2044,489.111
PPM,Reference,2045,492.225
PPM,Reference,2046,495.344
PPM,Reference,2047,498.493
PPM,Reference,2048,501.658
PPM,Reference,2049,504.842
PPM,Reference,2050,508.043
PPM,Reference,2051,511.264
PPM,Reference,2052,514.495
PPM,Reference,2053,517.743
PPM,Reference,2054,521.01
PPM,Reference,2055,524.294
PPM,Reference,2056,527.596
PPM,Reference,2057,530.907
PPM,Reference,2058,534.246
PPM,Reference,2059,537.612
PPM,Reference,2060,541.005
PPM,Reference,2061,544.426
PPM,Reference,2062,547.815
PPM,Reference,2063,551.228
PPM,Reference,2064,554.663
PPM,Reference,2065,558.123
PPM,Reference,2066,561.608
PPM,Reference,2067,565.078
PPM,Reference,2068,568.574
PPM,Reference,2069,572.095
PPM,Reference,2070,575.642
PPM,Reference,2071,579.216
PPM,Reference,2072,582.766
PPM,Reference,2073,586.343
PPM,Reference,2074,589.948
PPM,Reference,2075,593.581
PPM,Reference,2076,597.242
PPM,Reference,2077,600.896
PPM,Reference,2078,604.571
PPM,Reference,2079,608.268
PPM,Reference,2080,611.988
PPM,Reference,2081,615.731
PPM,Reference,2082,619.44
PPM,Reference,2083,623.152
PPM,Reference,2084,626.869
PPM,Reference,2085,630.591
PPM,Reference,2086,634.319
PPM,Reference,2087,638.028
PPM,Reference,2088,641.746
PPM,Reference,2089,645.473
PPM,Reference,2090,649.211
PPM,Reference,2091,652.959
PPM,Reference,2092,656.684
PPM,Reference,2093,660.413
PPM,Reference,2094,664.147
PPM,Reference,2095,667.887
PPM,Reference,2096,671.633
PPM,Reference,2097,675.361
PPM,Reference,2098,679.089
PPM,Reference,2099,682.818
PPM,Reference,2100,686.549
