Units,scenario,region,year,value
MTC,Reference,Pakistan,1975,3.7074561485000013
MTC,Reference,Pakistan,1990,18.004516788999993
MTC,Reference,Pakistan,2005,35.53919412000001
MTC,Reference,Pakistan,2010,42.352249612200005
MTC,Reference,Pakistan,2015,48.649906883
MTC,Reference,Pakistan,2021,62.94804379300003
MTC,Reference,Pakistan,2025,68.14625613109999
MTC,Reference,Pakistan,2030,83.5368870324
MTC,Reference,Pakistan,2035,101.46525558939999
MTC,Reference,Pakistan,2040,124.43424009370013
MTC,Reference,Pakistan,2045,152.0939947945
MTC,Reference,Pakistan,2050,179.91566409978995
MTC,Reference,Pakistan,2055,205.71330065759
MTC,Reference,Pakistan,2060,242.12834645205226
MTC,Reference,Pakistan,2065,280.88402148346427
MTC,Reference,Pakistan,2070,321.11151772664334
MTC,Reference,Pakistan,2075,361.7326948536212
MTC,Reference,Pakistan,2080,399.4671269449648
MTC,Reference,Pakistan,2085,432.0308086346898
MTC,Reference,Pakistan,2090,464.03601045690493
MTC,Reference,Pakistan,2095,494.31813612374054
MTC,Reference,Pakistan,2100,522.690635010337
