Units,scenario,region,year,account,value
million 1990$,Reference,Pakistan,1975,GDP,19738
million 1990$,Reference,Pakistan,1990,GDP,48051
million 1990$,Reference,Pakistan,2005,GDP,90229
million 1990$,Reference,Pakistan,2010,GDP,111891
million 1990$,Reference,Pakistan,2015,GDP,144483
million 1990$,Reference,Pakistan,2021,GDP,184298
million 1990$,Reference,Pakistan,2025,GDP,209771
million 1990$,Reference,Pakistan,2030,GDP,266478
million 1990$,Reference,Pakistan,2035,GDP,339016
million 1990$,Reference,Pakistan,2040,GDP,434786
million 1990$,Reference,Pakistan,2045,GDP,559995
million 1990$,Reference,Pakistan,2050,GDP,718751
million 1990$,Reference,Pakistan,2055,GDP,914856
million 1990$,Reference,Pakistan,2060,GDP,1152370
million 1990$,Reference,Pakistan,2065,GDP,1436870
million 1990$,Reference,Pakistan,2070,GDP,1766380
million 1990$,Reference,Pakistan,2075,GDP,2143700
million 1990$,Reference,Pakistan,2080,GDP,2565050
million 1990$,Reference,Pakistan,2085,GDP,3027400
million 1990$,Reference,Pakistan,2090,GDP,3530220
million 1990$,Reference,Pakistan,2095,GDP,4071340
million 1990$,Reference,Pakistan,2100,GDP,4652030
