Units,scenario,region,sector,subsector,technology,input,year,value
EJ,Reference,Pakistan,elect_td_bld,rooftop_pv,rooftop_pv,distributed_solar,2025,0.0171872
EJ,Reference,Pakistan,elect_td_bld,rooftop_pv,rooftop_pv,distributed_solar,2030,0.0396175
EJ,Reference,Pakistan,elect_td_bld,rooftop_pv,rooftop_pv,distributed_solar,2035,0.0717822
EJ,Reference,Pakistan,elect_td_bld,rooftop_pv,rooftop_pv,distributed_solar,2040,0.111561
EJ,Reference,Pakistan,elect_td_bld,rooftop_pv,rooftop_pv,distributed_solar,2045,0.15999
EJ,Reference,Pakistan,elect_td_bld,rooftop_pv,rooftop_pv,distributed_solar,2050,0.218051
EJ,Reference,Pakistan,elect_td_bld,rooftop_pv,rooftop_pv,distributed_solar,2055,0.276552
EJ,Reference,Pakistan,elect_td_bld,rooftop_pv,rooftop_pv,distributed_solar,2060,0.377861
EJ,Reference,Pakistan,elect_td_bld,rooftop_pv,rooftop_pv,distributed_solar,2065,0.489994
EJ,Reference,Pakistan,elect_td_bld,rooftop_pv,rooftop_pv,distributed_solar,2070,0.601661
EJ,Reference,Pakistan,elect_td_bld,rooftop_pv,rooftop_pv,distributed_solar,2075,0.70605
EJ,Reference,Pakistan,elect_td_bld,rooftop_pv,rooftop_pv,distributed_solar,2080,0.805106
EJ,Reference,Pakistan,elect_td_bld,rooftop_pv,rooftop_pv,distributed_solar,2085,0.874079
EJ,Reference,Pakistan,elect_td_bld,rooftop_pv,rooftop_pv,distributed_solar,2090,0.950039
EJ,Reference,Pakistan,elect_td_bld,rooftop_pv,rooftop_pv,distributed_solar,2095,1.02547
EJ,Reference,Pakistan,elect_td_bld,rooftop_pv,rooftop_pv,distributed_solar,2100,1.11496
EJ,Reference,Pakistan,electricity,biomass,biomass (IGCC),regional biomass,2030,0.0012956443000000002
EJ,Reference,Pakistan,electricity,biomass,biomass (IGCC),regional biomass,2035,0.0029561884
EJ,Reference,Pakistan,electricity,biomass,biomass (IGCC),regional biomass,2040,0.00614896707
EJ,Reference,Pakistan,electricity,biomass,biomass (IGCC),regional biomass,2045,0.010795439379999997
EJ,Reference,Pakistan,electricity,biomass,biomass (IGCC),regional biomass,2050,0.0156629784
EJ,Reference,Pakistan,electricity,biomass,biomass (IGCC),regional biomass,2055,0.019428532293
EJ,Reference,Pakistan,electricity,biomass,biomass (IGCC),regional biomass,2060,0.027628808227
EJ,Reference,Pakistan,electricity,biomass,biomass (IGCC),regional biomass,2065,0.03840498396190001
EJ,Reference,Pakistan,electricity,biomass,biomass (IGCC),regional biomass,2070,0.0520318174892
EJ,Reference,Pakistan,electricity,biomass,biomass (IGCC),regional biomass,2075,0.0690538445658
EJ,Reference,Pakistan,electricity,biomass,biomass (IGCC),regional biomass,2080,0.08737610833500002
EJ,Reference,Pakistan,electricity,biomass,biomass (IGCC),regional biomass,2085,0.1066403639168
EJ,Reference,Pakistan,electricity,biomass,biomass (IGCC),regional biomass,2090,0.12936340907398
EJ,Reference,Pakistan,electricity,biomass,biomass (IGCC),regional biomass,2095,0.15298463537043
EJ,Reference,Pakistan,electricity,biomass,biomass (IGCC),regional biomass,2100,0.17720604039873997
EJ,Reference,Pakistan,electricity,biomass,biomass (conv),regional biomass,2015,0.010005632
EJ,Reference,Pakistan,electricity,biomass,biomass (conv),regional biomass,2021,0.013520249
EJ,Reference,Pakistan,electricity,biomass,biomass (conv),regional biomass,2025,0.007832629
EJ,Reference,Pakistan,electricity,biomass,biomass (conv),regional biomass,2030,0.0130386752
EJ,Reference,Pakistan,electricity,biomass,biomass (conv),regional biomass,2035,0.019828970100000003
EJ,Reference,Pakistan,electricity,biomass,biomass (conv),regional biomass,2040,0.032804243999999996
EJ,Reference,Pakistan,electricity,biomass,biomass (conv),regional biomass,2045,0.04944378557
EJ,Reference,Pakistan,electricity,biomass,biomass (conv),regional biomass,2050,0.06415563616000002
EJ,Reference,Pakistan,electricity,biomass,biomass (conv),regional biomass,2055,0.07126910787
EJ,Reference,Pakistan,electricity,biomass,biomass (conv),regional biomass,2060,0.09054472887099999
