Units,scenario,region,subsector,technology,output,year,value
EJ,Reference,Pakistan,biomass,biomass (IGCC),electricity,2030,4.74953e-4
EJ,Reference,Pakistan,biomass,biomass (IGCC),electricity,2035,0.00110698
EJ,Reference,Pakistan,biomass,biomass (IGCC),electricity,2040,0.0023557
EJ,Reference,Pakistan,biomass,biomass (IGCC),electricity,2045,0.00421982
EJ,Reference,Pakistan,biomass,biomass (IGCC),electricity,2050,0.00622289
EJ,Reference,Pakistan,biomass,biomass (IGCC),electricity,2055,0.0078078
EJ,Reference,Pakistan,biomass,biomass (IGCC),electricity,2060,0.0113188
EJ,Reference,Pakistan,biomass,biomass (IGCC),electricity,2065,0.0160059
EJ,Reference,Pakistan,biomass,biomass (IGCC),electricity,2070,0.022014
EJ,Reference,Pakistan,biomass,biomass (IGCC),electricity,2075,0.0296221
EJ,Reference,Pakistan,biomass,biomass (IGCC),electricity,2080,0.0378984
EJ,Reference,Pakistan,biomass,biomass (IGCC),electricity,2085,0.0466919
EJ,Reference,Pakistan,biomass,biomass (IGCC),electricity,2090,0.0572475
EJ,Reference,Pakistan,biomass,biomass (IGCC),electricity,2095,0.0683412
EJ,Reference,Pakistan,biomass,biomass (IGCC),electricity,2100,0.0798534
EJ,Reference,Pakistan,biomass,biomass (conv),electricity,2015,0.00200182
EJ,Reference,Pakistan,biomass,biomass (conv),electricity,2021,0.00270709
EJ,Reference,Pakistan,biomass,biomass (conv),electricity,2025,0.00194655
EJ,Reference,Pakistan,biomass,biomass (conv),electricity,2030,0.00360282
EJ,Reference,Pakistan,biomass,biomass (conv),electricity,2035,0.00574717
EJ,Reference,Pakistan,biomass,biomass (conv),electricity,2040,0.00989047
EJ,Reference,Pakistan,biomass,biomass (conv),electricity,2045,0.0153529
EJ,Reference,Pakistan,biomass,biomass (conv),electricity,2050,0.0203366
EJ,Reference,Pakistan,biomass,biomass (conv),electricity,2055,0.022892
EJ,Reference,Pakistan,biomass,biomass (conv),electricity,2060,0.0297123
EJ,Reference,Pakistan,biomass,biomass (conv),electricity,2065,0.037944
EJ,Reference,Pakistan,biomass,biomass (conv),electricity,2070,0.0476534
EJ,Reference,Pakistan,biomass,biomass (conv),electricity,2075,0.0591852
EJ,Reference,Pakistan,biomass,biomass (conv),electricity,2080,0.0709717
EJ,Reference,Pakistan,biomass,biomass (conv),electricity,2085,0.082533
EJ,Reference,Pakistan,biomass,biomass (conv),electricity,2090,0.0963883
EJ,Reference,Pakistan,biomass,biomass (conv),electricity,2095,0.109878
EJ,Reference,Pakistan,biomass,biomass (conv),electricity,2100,0.124201
EJ,Reference,Pakistan,coal,coal (IGCC),electricity,2030,4.01792e-4
EJ,Reference,Pakistan,coal,coal (IGCC),electricity,2035,8.51651e-4
EJ,Reference,Pakistan,coal,coal (IGCC),electricity,2040,0.00153955
EJ,Reference,Pakistan,coal,coal (IGCC),electricity,2045,0.00238392
EJ,Reference,Pakistan,coal,coal (IGCC),electricity,2050,0.00316158
EJ,Reference,Pakistan,coal,coal (IGCC),electricity,2055,0.00371724
EJ,Reference,Pakistan,coal,coal (IGCC),electricity,2060,0.00472152
EJ,Reference,Pakistan,coal,coal (IGCC),electricity,2065,0.00591123
EJ,Reference,Pakistan,coal,coal (IGCC),electricity,2070,0.00726405
EJ,Reference,Pakistan,coal,coal (IGCC),electricity,2075,0.00879401
EJ,Reference,Pakistan,coal,coal (IGCC),electricity,2080,0.010298
EJ,Reference,Pakistan,coal,coal (IGCC),electricity,2085,0.0117227
EJ,Reference,Pakistan,coal,coal (IGCC),electricity,2090,0.0129141
EJ,Reference,Pakistan,coal,coal (IGCC),electricity,2095,0.0140365
EJ,Reference,Pakistan,coal,coal (IGCC),electricity,2100,0.0148562
EJ,Reference,Pakistan,coal,coal (conv pul),electricity,1990,1.36808e-4
EJ,Reference,Pakistan,coal,coal (conv pul),electricity,2005,4.64359e-4
EJ,Reference,Pakistan,coal,coal (conv pul),electricity,2010,3.16813e-4
EJ,Reference,Pakistan,coal,coal (conv pul),electricity,2015,5.32858e-4
EJ,Reference,Pakistan,coal,coal (conv pul),electricity,2021,0.104867
EJ,Reference,Pakistan,coal,coal (conv pul),electricity,2025,0.12703
EJ,Reference,Pakistan,coal,coal (conv pul),electricity,2030,0.175603
EJ,Reference,Pakistan,coal,coal (conv pul),electricity,2035,0.233985
EJ,Reference,Pakistan,coal,coal (conv pul),electricity,2040,0.332916
EJ,Reference,Pakistan,coal,coal (conv pul),electricity,2045,0.462488
EJ,Reference,Pakistan,coal,coal (conv pul),electricity,2050,0.585418
EJ,Reference,Pakistan,coal,coal (conv pul),electricity,2055,0.675438
EJ,Reference,Pakistan,coal,coal (conv pul),electricity,2060,0.859207
EJ,Reference,Pakistan,coal,coal (conv pul),electricity,2065,1.09114
EJ,Reference,Pakistan,coal,coal (conv pul),electricity,2070,1.36856
EJ,Reference,Pakistan,coal,coal (conv pul),electricity,2075,1.6971
EJ,Reference,Pakistan,coal,coal (conv pul),electricity,2080,2.02935
EJ,Reference,Pakistan,coal,coal (conv pul),electricity,2085,2.33941
EJ,Reference,Pakistan,coal,coal (conv pul),electricity,2090,2.67548
EJ,Reference,Pakistan,coal,coal (conv pul),electricity,2095,3.00687
EJ,Reference,Pakistan,coal,coal (conv pul),electricity,2100,3.29795
EJ,Reference,Pakistan,gas,gas (CC),electricity,1990,0.00150028
EJ,Reference,Pakistan,gas,gas (CC),electricity,2005,0.0519394
