Units,scenario,region,sector,input,year,value
EJ,Reference,Pakistan,agricultural energy use,electricity,1975,2.09003e-5
EJ,Reference,Pakistan,agricultural energy use,electricity,1990,0.0018
EJ,Reference,Pakistan,agricultural energy use,electricity,2025,5.57503e-7
EJ,Reference,Pakistan,agricultural energy use,electricity,2030,4.4457e-6
EJ,Reference,Pakistan,agricultural energy use,electricity,2035,1.3837281e-5
EJ,Reference,Pakistan,agricultural energy use,electricity,2040,3.0251162999999998e-5
EJ,Reference,Pakistan,agricultural energy use,electricity,2045,5.1396418e-5
EJ,Reference,Pakistan,agricultural energy use,electricity,2050,8.671851999999999e-5
EJ,Reference,Pakistan,agricultural energy use,electricity,2055,1.1608289e-4
EJ,Reference,Pakistan,agricultural energy use,electricity,2060,1.3731352e-4
EJ,Reference,Pakistan,agricultural energy use,electricity,2065,1.5130249999999998e-4
EJ,Reference,Pakistan,agricultural energy use,electricity,2070,1.604789e-4
EJ,Reference,Pakistan,agricultural energy use,electricity,2075,1.67738e-4
EJ,Reference,Pakistan,agricultural energy use,electricity,2080,1.730403e-4
EJ,Reference,Pakistan,agricultural energy use,electricity,2085,1.769071e-4
EJ,Reference,Pakistan,agricultural energy use,electricity,2090,1.799836e-4
EJ,Reference,Pakistan,agricultural energy use,electricity,2095,1.8203810000000001e-4
EJ,Reference,Pakistan,agricultural energy use,electricity,2100,1.837408e-4
EJ,Reference,Pakistan,agricultural energy use,hydrogen,2025,1.0487714e-6
EJ,Reference,Pakistan,agricultural energy use,hydrogen,2030,7.3535467e-6
EJ,Reference,Pakistan,agricultural energy use,hydrogen,2035,1.914517567e-5
EJ,Reference,Pakistan,agricultural energy use,hydrogen,2040,3.35373307e-5
EJ,Reference,Pakistan,agricultural energy use,hydrogen,2045,4.5270803299999997e-05
EJ,Reference,Pakistan,agricultural energy use,hydrogen,2050,5.9068442e-5
EJ,Reference,Pakistan,agricultural energy use,hydrogen,2055,7.113253e-5
EJ,Reference,Pakistan,agricultural energy use,hydrogen,2060,8.1403287e-5
EJ,Reference,Pakistan,agricultural energy use,hydrogen,2065,8.9641454e-5
EJ,Reference,Pakistan,agricultural energy use,hydrogen,2070,9.5803447e-5
EJ,Reference,Pakistan,agricultural energy use,hydrogen,2075,1.0076149800000001e-4
EJ,Reference,Pakistan,agricultural energy use,hydrogen,2080,1.04601429e-4
EJ,Reference,Pakistan,agricultural energy use,hydrogen,2085,1.07839463e-4
