population by region,,,,,,,,,,,,,,,,,,,,,,,,,
,scenario,account,region,1990,2005,2010,2015,2021,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Units
,Reference,population,Pakistan,115414,174372,194454,210969,231402,250419,275492,300895,325831,349851,373040,394775,415003,432995,448563,461502,471802,480044,486685,491838,495711,thous
GDP MER by region,,,,,,,,,,,,,,,,,,,,,,,,,
,scenario,account,region,1990,2005,2010,2015,2021,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Units
,Reference,GDP,Pakistan,48051,90229,111891,144483,184298,209771,266478,339016,434786,559995,718751,914856,1152370,1436870,1766380,2143700,2565050,3027400,3530220,4071340,4652030,million 1990$
GDP per capita MER by region,,,,,,,,,,,,,,,,,,,,,,,,,
,scenario,account,region,1990,2005,2010,2015,2021,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Units
,Reference,gdp-per-capita,Pakistan,0.416336,0.517451,0.575411,0.684854,0.796441,0.83768,0.96728,1.12669,1.33439,1.60067,1.92674,2.31741,2.77677,3.31844,3.93787,4.64505,5.43671,6.30651,7.25361,8.27782,9.38456,thous 1990$ percap
GDP per capita PPP by region,,,,,,,,,,,,,,,,,,,,,,,,,
,scenario,account,region,1990,2005,2010,2015,2021,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Units
,Reference,gdp-per-capita-ppp,Pakistan,1.63914,2.03723,2.26542,2.69631,3.13563,3.29799,3.80823,4.43584,5.25356,6.30191,7.58567,9.12376,10.9323,13.0649,15.5036,18.2878,21.4046,24.829,28.5578,32.5902,36.9475,thous 1990$ percap
