Units,scenario,year,value
degreesC,Reference,1975,0.0406
degreesC,Reference,1976,0.140869
degreesC,Reference,1977,0.161462
degreesC,Reference,1978,0.182314
degreesC,Reference,1979,0.200093
degreesC,Reference,1980,0.214113
degreesC,Reference,1981,0.228589
degreesC,Reference,1982,0.223748
degreesC,Reference,1983,0.186955
degreesC,Reference,1984,0.198132
degreesC,Reference,1985,0.228921
degreesC,Reference,1986,0.256348
degreesC,Reference,1987,0.282695
degreesC,Reference,1988,0.31061
degreesC,Reference,1989,0.338848
degreesC,Reference,1990,0.363544
degreesC,Reference,1991,0.336953
degreesC,Reference,1992,0.229359
degreesC,Reference,1993,0.222227
degreesC,Reference,1994,0.279499
degreesC,Reference,1995,0.342249
degreesC,Reference,1996,0.396
degreesC,Reference,1997,0.430787
degreesC,Reference,1998,0.4629
degreesC,Reference,1999,0.501564
degreesC,Reference,2000,0.536796
degreesC,Reference,2001,0.566878
degreesC,Reference,2002,0.588518
degreesC,Reference,2003,0.60596
degreesC,Reference,2004,0.625823
degreesC,Reference,2005,0.644215
degreesC,Reference,2006,0.663268
degreesC,Reference,2007,0.684744
degreesC,Reference,2008,0.709257
degreesC,Reference,2009,0.733022
degreesC,Reference,2010,0.76084
degreesC,Reference,2011,0.786154
degreesC,Reference,2012,0.814321
degreesC,Reference,2013,0.844148
degreesC,Reference,2014,0.872291
degreesC,Reference,2015,0.899583
degreesC,Reference,2016,0.927256
degreesC,Reference,2017,0.954676
degreesC,Reference,2018,0.981904
degreesC,Reference,2019,1.00898
degreesC,Reference,2020,1.03598
degreesC,Reference,2021,1.06293
degreesC,Reference,2022,1.08764
degreesC,Reference,2023,1.11096
degreesC,Reference,2024,1.13341
degreesC,Reference,2025,1.15642
degreesC,Reference,2026,1.17976
degreesC,Reference,2027,1.20324
degreesC,Reference,2028,1.22682
degreesC,Reference,2029,1.2505
degreesC,Reference,2030,1.27427
degreesC,Reference,2031,1.2981
degreesC,Reference,2032,1.32197
degreesC,Reference,2033,1.34588
degreesC,Reference,2034,1.36982
degreesC,Reference,2035,1.3938
degreesC,Reference,2036,1.41768
degreesC,Reference,2037,1.44143
degreesC,Reference,2038,1.46509
degreesC,Reference,2039,1.48867
degreesC,Reference,2040,1.51217
degreesC,Reference,2041,1.53577
degreesC,Reference,2042,1.5594
degreesC,Reference,2043,1.58304
degreesC,Reference,2044,1.60669
degreesC,Reference,2045,1.63034
degreesC,Reference,2046,1.65394
degreesC,Reference,2047,1.67753
degreesC,Reference,2048,1.70114
degreesC,Reference,2049,1.72478
degreesC,Reference,2050,1.74847
degreesC,Reference,2051,1.77231
degreesC,Reference,2052,1.79626
degreesC,Reference,2053,1.82032
degreesC,Reference,2054,1.84448
degreesC,Reference,2055,1.86873
degreesC,Reference,2056,1.89297
degreesC,Reference,2057,1.91721
degreesC,Reference,2058,1.94148
degreesC,Reference,2059,1.96581
degreesC,Reference,2060,1.9902
degreesC,Reference,2061,2.01465
degreesC,Reference,2062,2.03911
degreesC,Reference,2063,2.0636
degreesC,Reference,2064,2.08813
degreesC,Reference,2065,2.1127
degreesC,Reference,2066,2.13729
degreesC,Reference,2067,2.16185
degreesC,Reference,2068,2.18643
degreesC,Reference,2069,2.21102
degreesC,Reference,2070,2.23564
degreesC,Reference,2071,2.26033
degreesC,Reference,2072,2.28504
degreesC,Reference,2073,2.30978
degreesC,Reference,2074,2.33455
degreesC,Reference,2075,2.35937
degreesC,Reference,2076,2.38425
degreesC,Reference,2077,2.40914
degreesC,Reference,2078,2.43406
degreesC,Reference,2079,2.45899
degreesC,Reference,2080,2.48394
degreesC,Reference,2081,2.50902
degreesC,Reference,2082,2.53414
degreesC,Reference,2083,2.55929
degreesC,Reference,2084,2.58443
degreesC,Reference,2085,2.60957
degreesC,Reference,2086,2.63469
degreesC,Reference,2087,2.65976
degreesC,Reference,2088,2.6848
degreesC,Reference,2089,2.70982
degreesC,Reference,2090,2.7348
degreesC,Reference,2091,2.75979
degreesC,Reference,2092,2.78476
degreesC,Reference,2093,2.8097
degreesC,Reference,2094,2.8346
degreesC,Reference,2095,2.85946
degreesC,Reference,2096,2.88432
degreesC,Reference,2097,2.90914
degreesC,Reference,2098,2.93391
degreesC,Reference,2099,2.95863
degreesC,Reference,2100,2.9833
