Units,scenario,year,value
GtC,Reference,1975,0
GtC,Reference,1976,0.645086
GtC,Reference,1977,0.640747
GtC,Reference,1978,0.640626
GtC,Reference,1979,0.735586
GtC,Reference,1980,0.832512
GtC,Reference,1981,0.893882
GtC,Reference,1982,0.925042
GtC,Reference,1983,0.996571
GtC,Reference,1984,0.946786
GtC,Reference,1985,0.903602
GtC,Reference,1986,0.85996
GtC,Reference,1987,0.852424
GtC,Reference,1988,0.888539
GtC,Reference,1989,0.908055
GtC,Reference,1990,0.91392
GtC,Reference,1991,1.031
GtC,Reference,1992,0.973504
GtC,Reference,1993,1.24982
GtC,Reference,1994,1.3587
GtC,Reference,1995,1.26862
GtC,Reference,1996,1.20228
GtC,Reference,1997,1.15873
GtC,Reference,1998,0.377409
GtC,Reference,1999,0.897745
GtC,Reference,2000,1.03153
GtC,Reference,2001,1.05888
GtC,Reference,2002,1.24282
GtC,Reference,2003,1.11122
GtC,Reference,2004,1.25387
GtC,Reference,2005,1.09853
GtC,Reference,2006,1.08612
GtC,Reference,2007,1.00438
GtC,Reference,2008,0.959129
GtC,Reference,2009,0.922649
GtC,Reference,2010,0.90461
GtC,Reference,2011,0.886549
GtC,Reference,2012,0.592763
GtC,Reference,2013,0.507746
GtC,Reference,2014,0.423553
GtC,Reference,2015,0.349738
GtC,Reference,2016,0.280116
GtC,Reference,2017,1.45477
GtC,Reference,2018,1.51115
GtC,Reference,2019,1.54548
GtC,Reference,2020,1.57201
GtC,Reference,2021,1.59314
GtC,Reference,2022,1.60979
GtC,Reference,2023,1.18006
GtC,Reference,2024,1.13156
GtC,Reference,2025,1.08561
GtC,Reference,2026,1.03862
GtC,Reference,2027,1.11841
GtC,Reference,2028,1.08338
GtC,Reference,2029,1.04869
GtC,Reference,2030,1.01485
GtC,Reference,2031,0.98176
GtC,Reference,2032,0.978571
GtC,Reference,2033,0.949718
GtC,Reference,2034,0.91463
GtC,Reference,2035,0.878605
GtC,Reference,2036,0.843667
GtC,Reference,2037,0.881657
GtC,Reference,2038,0.851697
GtC,Reference,2039,0.819745
GtC,Reference,2040,0.787596
GtC,Reference,2041,0.755031
GtC,Reference,2042,0.787012
GtC,Reference,2043,0.759662
GtC,Reference,2044,0.730219
GtC,Reference,2045,0.699116
GtC,Reference,2046,0.666614
GtC,Reference,2047,0.603645
GtC,Reference,2048,0.568006
GtC,Reference,2049,0.530892
GtC,Reference,2050,0.492606
GtC,Reference,2051,0.453374
GtC,Reference,2052,0.425003
GtC,Reference,2053,0.38272
GtC,Reference,2054,0.340463
GtC,Reference,2055,0.297935
GtC,Reference,2056,0.254587
GtC,Reference,2057,0.254668
GtC,Reference,2058,0.215316
GtC,Reference,2059,0.175442
GtC,Reference,2060,0.134737
GtC,Reference,2061,0.0937811
GtC,Reference,2062,0.184799
GtC,Reference,2063,0.158775
GtC,Reference,2064,0.130485
GtC,Reference,2065,0.0990567
GtC,Reference,2066,0.0668613
GtC,Reference,2067,0.133063
GtC,Reference,2068,0.112577
GtC,Reference,2069,0.0904001
GtC,Reference,2070,0.0670405
GtC,Reference,2071,0.042784
GtC,Reference,2072,0.140146
GtC,Reference,2073,0.128832
GtC,Reference,2074,0.115264
GtC,Reference,2075,0.100271
GtC,Reference,2076,0.0837755
GtC,Reference,2077,0.136723
GtC,Reference,2078,0.127799
GtC,Reference,2079,0.11686
GtC,Reference,2080,0.104555
GtC,Reference,2081,0.091195
GtC,Reference,2082,0.162683
GtC,Reference,2083,0.156979
GtC,Reference,2084,0.148691
GtC,Reference,2085,0.138624
GtC,Reference,2086,0.125905
GtC,Reference,2087,0.180148
GtC,Reference,2088,0.171811
GtC,Reference,2089,0.162736
GtC,Reference,2090,0.152694
GtC,Reference,2091,0.142078
GtC,Reference,2092,0.197161
GtC,Reference,2093,0.194259
GtC,Reference,2094,0.189032
GtC,Reference,2095,0.18268
GtC,Reference,2096,0.175509
GtC,Reference,2097,0.218121
GtC,Reference,2098,0.218989
GtC,Reference,2099,0.218456
GtC,Reference,2100,0.216712
