Units,scenario,region,ghg,year,value
Gg,Reference,Pakistan,HFC125,2005,0.061525818
Gg,Reference,Pakistan,HFC125,2010,0.14388796
Gg,Reference,Pakistan,HFC125,2015,0.36322056999999996
Gg,Reference,Pakistan,HFC125,2021,1.2015368
Gg,Reference,Pakistan,HFC125,2025,1.6658922999999999
Gg,Reference,Pakistan,HFC125,2030,2.6012255
Gg,Reference,Pakistan,HFC125,2035,3.3699902
Gg,Reference,Pakistan,HFC125,2040,4.383318
Gg,Reference,Pakistan,HFC125,2045,5.709163
Gg,Reference,Pakistan,HFC125,2050,7.412417000000001
Gg,Reference,Pakistan,HFC125,2055,9.474751
Gg,Reference,Pakistan,HFC125,2060,11.879804
Gg,Reference,Pakistan,HFC125,2065,14.549247
Gg,Reference,Pakistan,HFC125,2070,17.330092
Gg,Reference,Pakistan,HFC125,2075,20.138783
Gg,Reference,Pakistan,HFC125,2080,22.796429
Gg,Reference,Pakistan,HFC125,2085,25.208035000000002
Gg,Reference,Pakistan,HFC125,2090,27.35201
Gg,Reference,Pakistan,HFC125,2095,29.17841
Gg,Reference,Pakistan,HFC125,2100,30.655849999999997
Gg,Reference,Pakistan,HFC134a,2005,0.39459935999999995
Gg,Reference,Pakistan,HFC134a,2010,0.69942039
Gg,Reference,Pakistan,HFC134a,2015,1.7455591
Gg,Reference,Pakistan,HFC134a,2021,3.1915477
Gg,Reference,Pakistan,HFC134a,2025,3.8445373
Gg,Reference,Pakistan,HFC134a,2030,5.3832521
Gg,Reference,Pakistan,HFC134a,2035,7.1378488
Gg,Reference,Pakistan,HFC134a,2040,9.5311704
Gg,Reference,Pakistan,HFC134a,2045,12.7881681
Gg,Reference,Pakistan,HFC134a,2050,17.129492199999998
Gg,Reference,Pakistan,HFC134a,2055,22.5988425
Gg,Reference,Pakistan,HFC134a,2060,29.259200900000003
Gg,Reference,Pakistan,HFC134a,2065,36.9777609
Gg,Reference,Pakistan,HFC134a,2070,45.3998213
Gg,Reference,Pakistan,HFC134a,2075,54.331088799999996
Gg,Reference,Pakistan,HFC134a,2080,63.20560470000001
Gg,Reference,Pakistan,HFC134a,2085,71.6707469
Gg,Reference,Pakistan,HFC134a,2090,79.61684939999999
