Units,scenario,region,year,value
thous,Reference,Pakistan,1975,68127
thous,Reference,Pakistan,1990,115414
thous,Reference,Pakistan,2005,174372
thous,Reference,Pakistan,2010,194454
thous,Reference,Pakistan,2015,210969
thous,Reference,Pakistan,2021,231402
thous,Reference,Pakistan,2025,250419
thous,Reference,Pakistan,2030,275492
thous,Reference,Pakistan,2035,300895
thous,Reference,Pakistan,2040,325831
thous,Reference,Pakistan,2045,349851
thous,Reference,Pakistan,2050,373040
thous,Reference,Pakistan,2055,394775
thous,Reference,Pakistan,2060,415003
thous,Reference,Pakistan,2065,432995
thous,Reference,Pakistan,2070,448563
thous,Reference,Pakistan,2075,461502
thous,Reference,Pakistan,2080,471802
thous,Reference,Pakistan,2085,480044
thous,Reference,Pakistan,2090,486685
thous,Reference,Pakistan,2095,491838
thous,Reference,Pakistan,2100,495711
