Units,scenario,year,value
W/m^2,Reference,1975,0
W/m^2,Reference,1976,0.383154
W/m^2,Reference,1977,0.512006
W/m^2,Reference,1978,0.580813
W/m^2,Reference,1979,0.607994
W/m^2,Reference,1980,0.613136
W/m^2,Reference,1981,0.655905
W/m^2,Reference,1982,0.448068
W/m^2,Reference,1983,0.0226605
W/m^2,Reference,1984,0.497674
W/m^2,Reference,1985,0.751914
W/m^2,Reference,1986,0.81282
W/m^2,Reference,1987,0.892627
W/m^2,Reference,1988,0.992152
W/m^2,Reference,1989,1.07647
W/m^2,Reference,1990,1.11103
W/m^2,Reference,1991,0.530465
W/m^2,Reference,1992,-0.584517
W/m^2,Reference,1993,0.316224
W/m^2,Reference,1994,1.04551
W/m^2,Reference,1995,1.31107
W/m^2,Reference,1996,1.42654
W/m^2,Reference,1997,1.36829
W/m^2,Reference,1998,1.43978
W/m^2,Reference,1999,1.60375
W/m^2,Reference,2000,1.66116
W/m^2,Reference,2001,1.68901
W/m^2,Reference,2002,1.65489
W/m^2,Reference,2003,1.64521
W/m^2,Reference,2004,1.70263
W/m^2,Reference,2005,1.71893
W/m^2,Reference,2006,1.76119
W/m^2,Reference,2007,1.82742
W/m^2,Reference,2008,1.9101
W/m^2,Reference,2009,1.95578
W/m^2,Reference,2010,2.06064
W/m^2,Reference,2011,2.09359
W/m^2,Reference,2012,2.18797
W/m^2,Reference,2013,2.273
W/m^2,Reference,2014,2.32214
W/m^2,Reference,2015,2.37608
W/m^2,Reference,2016,2.44075
W/m^2,Reference,2017,2.49781
W/m^2,Reference,2018,2.5548
W/m^2,Reference,2019,2.61115
W/m^2,Reference,2020,2.66753
W/m^2,Reference,2021,2.72384
W/m^2,Reference,2022,2.752
W/m^2,Reference,2023,2.7839
W/m^2,Reference,2024,2.81693
W/m^2,Reference,2025,2.86503
W/m^2,Reference,2026,2.91222
W/m^2,Reference,2027,2.95894
W/m^2,Reference,2028,3.00593
W/m^2,Reference,2029,3.05319
W/m^2,Reference,2030,3.1007
W/m^2,Reference,2031,3.14822
W/m^2,Reference,2032,3.19559
W/m^2,Reference,2033,3.24296
W/m^2,Reference,2034,3.29037
W/m^2,Reference,2035,3.33782
W/m^2,Reference,2036,3.38358
W/m^2,Reference,2037,3.42869
W/m^2,Reference,2038,3.47357
W/m^2,Reference,2039,3.51825
W/m^2,Reference,2040,3.56273
W/m^2,Reference,2041,3.60897
W/m^2,Reference,2042,3.65474
W/m^2,Reference,2043,3.70039
W/m^2,Reference,2044,3.74594
W/m^2,Reference,2045,3.79139
W/m^2,Reference,2046,3.83609
W/m^2,Reference,2047,3.88116
W/m^2,Reference,2048,3.92644
W/m^2,Reference,2049,3.97193
W/m^2,Reference,2050,4.01761
W/m^2,Reference,2051,4.06464
W/m^2,Reference,2052,4.11177
W/m^2,Reference,2053,4.15908
W/m^2,Reference,2054,4.20657
W/m^2,Reference,2055,4.25422
W/m^2,Reference,2056,4.30068
W/m^2,Reference,2057,4.34721
W/m^2,Reference,2058,4.39399
W/m^2,Reference,2059,4.44102
W/m^2,Reference,2060,4.48829
W/m^2,Reference,2061,4.5356
W/m^2,Reference,2062,4.58242
W/m^2,Reference,2063,4.62937
W/m^2,Reference,2064,4.67644
W/m^2,Reference,2065,4.72363
W/m^2,Reference,2066,4.77042
W/m^2,Reference,2067,4.81686
W/m^2,Reference,2068,4.86339
W/m^2,Reference,2069,4.91002
W/m^2,Reference,2070,4.95675
W/m^2,Reference,2071,5.00402
W/m^2,Reference,2072,5.05084
W/m^2,Reference,2073,5.09775
W/m^2,Reference,2074,5.14476
W/m^2,Reference,2075,5.19186
W/m^2,Reference,2076,5.23925
W/m^2,Reference,2077,5.28628
W/m^2,Reference,2078,5.33327
W/m^2,Reference,2079,5.38021
W/m^2,Reference,2080,5.42713
W/m^2,Reference,2081,5.47539
W/m^2,Reference,2082,5.52299
W/m^2,Reference,2083,5.57033
W/m^2,Reference,2084,5.61743
W/m^2,Reference,2085,5.6643
W/m^2,Reference,2086,5.71093
W/m^2,Reference,2087,5.75713
W/m^2,Reference,2088,5.80321
W/m^2,Reference,2089,5.84916
W/m^2,Reference,2090,5.895
W/m^2,Reference,2091,5.94114
W/m^2,Reference,2092,5.98683
W/m^2,Reference,2093,6.03233
W/m^2,Reference,2094,6.07765
W/m^2,Reference,2095,6.12281
W/m^2,Reference,2096,6.16813
W/m^2,Reference,2097,6.21302
W/m^2,Reference,2098,6.25767
W/m^2,Reference,2099,6.30211
W/m^2,Reference,2100,6.34635
