Scenario,Sector,Technology,Policy_Type,Year,target_numeric,ndc_multiplier,GCAM_Share,gcam_value,gcam_unit,gap_absolute,gap_pct,direction,iamc_variable,comparison_note
Current Measures,Power,Hydropower,Total Capacity (GW),2025,10.635,NA,NA,NA,N/A (fixedOutput),NA,NA,,Secondary Energy|Electricity|Hydro -> implied GW,fixedOutput: no model CF. IAMC nameplate=35.3 GW; Gen=3.969 GWa. Compare via generation rows instead.
Current Measures,Transport,Electric Vehicles,Total Activity (GWa ),2025,0.007907,NA,2.96921e-4,1.1829974209181102,GWa (LDV elec),1.1750904209181101,14861.393966335021,OVER,Final Energy|Transportation|Light-Duty Vehicle|Electricity,LDV elec=1.1830 GWa (incl 2W/3W); All transport elec=1.1835 GWa. Target likely 4W EVs only - SCOPE MISMATCH
Current Measures,Power,Wind,Total Capacity (GW),2025,1.845,NA,NA,2.15903000735334,GW (from generation),0.3140300073533402,17.02059660451708,OVER,Secondary Energy|Electricity|Wind -> implied GW,IAMC nameplate=6.5 GW; Gen=0.756 GWa / 35% CF = 2.2 GW
Current Measures,Power,Solar,Total Capacity (GW),2025,28.27,NA,NA,5.227814388480296,GW (from generation),-23.042185611519702,-81.50755433859109,UNDER,Secondary Energy|Electricity|Solar -> implied GW,IAMC nameplate=19.8 GW; Gen=1.357 GWa / 26% CF = 5.2 GW
Current Measures,Power,Nuclear,Total Capacity (GW),2025,3.262,NA,NA,1.8919470038000004,GW (from generation),-1.3700529961999997,-42.00039841201716,UNDER,Secondary Energy|Electricity|Nuclear -> implied GW,IAMC nameplate=14.7 GW; Gen=1.703 GWa / 90% CF = 1.9 GW
Current Measures,Power,Bio,Total Capacity (GW),2025,0.278,NA,NA,0.07261728438176472,GW (from generation),-0.2053827156182353,-73.87867468281844,UNDER,Secondary Energy|Electricity|Biomass -> implied GW,IAMC nameplate=0.4 GW; Gen=0.062 GWa / 85% CF = 0.1 GW
Current Measures,Power,RFO,Total Annual Acitivity (GWa ),2025,0.3406,NA,0.016446955,1.9370118651219002,GWa,1.5964118651219001,468.705773670552,OVER,Secondary Energy|Electricity|Oil,NA
Current Measures,Power,Gas,Total Annual Acitivity (GWa ),2025,4.9547,NA,0.239253465,6.861139220691,GWa,1.9064392206910004,38.47738956326317,OVER,Secondary Energy|Electricity|Gas,NA
Current Measures,Power,Coal,Total Annual Acitivity (GWa ),2025,2.345,NA,0.113235791,4.0280946237,GWa,1.6830946237000002,71.77375794029851,OVER,Secondary Energy|Electricity|Coal,NA
Current Measures,Power,Hydropower,Total Annual Acitivity (GWa ),2025,4.555,NA,0.219952678,3.96867047724,GWa,-0.5863295227599998,-12.872217843249173,UNDER,Secondary Energy|Electricity|Hydro,NA
Current Measures,Power,Wind,Total Annual Acitivity (GWa ),2025,0.45,NA,0.021729683,0.755660502573669,GWa,0.305660502573669,67.92455612748199,OVER,Secondary Energy|Electricity|Wind,NA
Current Measures,Power,Nuclear,Total Annual Acitivity (GWa ),2025,2.643,NA,0.12762567,1.7027523034200003,GWa,-0.9402476965799995,-35.57501689670827,UNDER,Secondary Energy|Electricity|Nuclear,NA
Current Measures,Power,Bio,Total Annual Acitivity (GWa ),2025,0.08297,NA,0.004006471,0.06172469172450001,GWa,-0.021245308275499995,-25.606012143545854,UNDER,Secondary Energy|Electricity|Biomass,NA
Current Measures,Power,Hydropower,Additional Capacity (GW),2030,5.96,NA,NA,NA,N/A (fixedOutput),NA,NA,,Secondary Energy|Electricity|Hydro delta -> implied GW,fixedOutput: Gen delta = 0.174 GWa (2025->2030). No model CF for GW conversion.
Current Measures,Power,Wind,Additional Capacity (GW),2030,0.4358,NA,NA,4.9297740990732,GW (from gen delta),4.4939740990732,1031.2010323710876,OVER,Secondary Energy|Electricity|Wind delta -> implied GW,Gen: 0.756 -> 2.481 GWa (delta=1.725 GWa / 35% CF = 4.9 GW)
Current Measures,Power,Solar,Additional Capacity (GW),2030,2.6742,NA,NA,14.939237507108777,GW (from gen delta),12.265037507108776,458.643239365372,OVER,Secondary Energy|Electricity|Solar delta -> implied GW,Gen: 1.357 -> 5.235 GWa (delta=3.878 GWa / 26% CF = 14.9 GW)
Current Measures,Transport,Electric Vehicles,Total Activity (GWa ),2030,0.33,NA,0.011175076,1.565579553883821,GWa (LDV elec),1.235579553883821,374.41804663146087,OVER,Final Energy|Transportation|Light-Duty Vehicle|Electricity,LDV elec=1.5656 GWa (incl 2W/3W); All transport elec=1.6299 GWa. Target likely 4W EVs only - SCOPE MISMATCH
Current Measures,Power,Nuclear Power,Additional Capacity (GW),2035,1.1,NA,NA,-0.07604028781860035,GW (from gen delta),-1.1760402878186005,-106.91275343805458,UNDER,Secondary Energy|Electricity|Nuclear delta -> implied GW,Gen: 1.639 -> 1.571 GWa (delta=-0.068 GWa / 90% CF = -0.1 GW)
NDC Unconditional,"Energy, Waste, IPP",Emissions,Reduction,2030,NA,0.85,NA,306.3019469644291,Mt CO2/yr,NA,NA,,Emissions|CO2|Energy and Industrial Processes,This scenario E&IP CO2 = 306.3 Mt. NDC target = 0.85 x CM = need CM run first. If CM ~ this: 260.4 Mt
NDC Conditional,"Energy, Waste, IPP",Emissions,Reduction,2030,NA,0.5,NA,306.3019469644291,Mt CO2/yr,NA,NA,,Emissions|CO2|Energy and Industrial Processes,This scenario E&IP CO2 = 306.3 Mt. NDC target = 0.50 x CM = need CM run first. If CM ~ this: 153.2 Mt
NDC Unconditional,"Energy, Waste, IPP",Emissions,Reduction,2035,NA,0.83,NA,372.0393043162186,Mt CO2/yr,NA,NA,,Emissions|CO2|Energy and Industrial Processes,This scenario E&IP CO2 = 372.0 Mt. NDC target = 0.83 x CM = need CM run first. If CM ~ this: 308.8 Mt
NDC Conditional,"Energy, Waste, IPP",Emissions,Reduction,2035,NA,0.5,NA,372.0393043162186,Mt CO2/yr,NA,NA,,Emissions|CO2|Energy and Industrial Processes,This scenario E&IP CO2 = 372.0 Mt. NDC target = 0.50 x CM = need CM run first. If CM ~ this: 186.0 Mt
