gcam_scenario,target_scenario,Sector,Technology,Policy_Type,Year,MSG_Impl,Value,target_num,target_unit,GCAM_Share,iamc_var,iamc_raw,iamc_raw_unit,conversion,gcam_value,gen_var,gen_raw_EJ,gen_GWa,cf,cf_source,gen_implied_GW,is_ndc,ndc_mult,gap_abs,gap_pct,direction,calc_note
Reference,Current Measures,Power,Bio,Total Annual Acitivity (GWa ),2025,Hard bound (Min/Max),0.08297,0.08297,GWa,0.004006471,Secondary Energy|Electricity|Biomass,0.00194655,EJ,31.70979,0.06172469172450001,NA,NA,NA,0.85,A23.globaltech_capacity_factor.csv,NA,FALSE,NA,-0.021245308275499995,-25.606012143545854,UNDER,IAMC 'Secondary Energy|Electricity|Biomass' = 0.001947 EJ * 31.70979 = 0.062 GWa
Reference,Current Measures,Power,Bio,Total Capacity (GW),2025,Hard bound (Min/Max),0.278,0.278,GW,NA,Capacity|Electricity|Biomass,0.3515644705075836,GW,1,0.3515644705075836,Secondary Energy|Electricity|Biomass,0.00194655,0.06172469172450001,0.85,A23.globaltech_capacity_factor.csv,0.07261728438176472,FALSE,NA,0.07356447050758358,26.462039750929346,OVER,IAMC direct = 0.35 GW (gcamreport blended CF). Gen = 0.001947 EJ = 0.062 GWa / CF 0.8500 = 0.1 GW implied (A23.globaltech_capacity_factor.csv)
Reference,Current Measures,Power,Coal,Total Annual Acitivity (GWa ),2025,Hard bound (Min/Max),2.345,2.345,GWa,0.113235791,Secondary Energy|Electricity|Coal,0.12703,EJ,31.70979,4.0280946237,NA,NA,NA,0.85,A23.globaltech_capacity_factor.csv,NA,FALSE,NA,1.6830946237000002,71.77375794029851,OVER,IAMC 'Secondary Energy|Electricity|Coal' = 0.127030 EJ * 31.70979 = 4.028 GWa
Reference,Current Measures,Power,Gas,Total Annual Acitivity (GWa ),2025,Hard bound (Min/Max),4.9547,4.9547,GWa,0.239253465,Secondary Energy|Electricity|Gas,0.2163729,EJ,31.70979,6.861139220691,NA,NA,NA,0.85,A23.globaltech_capacity_factor.csv,NA,FALSE,NA,1.9064392206910004,38.47738956326317,OVER,IAMC 'Secondary Energy|Electricity|Gas' = 0.216373 EJ * 31.70979 = 6.861 GWa
Reference,Current Measures,Power,Hydropower,Additional Capacity (GW),2030,Hard bound (Min),5.96,5.96,GW,NA,Capacity Additions|Electricity|Hydro,7.375363675613036,GW,1,7.375363675613036,Secondary Energy|Electricity|Hydro,0.130635,4.14240841665,NA,fixedOutput (no CF),NA,FALSE,NA,1.4153636756130359,23.74771267807107,OVER,IAMC 'Capacity Additions' = 7.3754 GW/yr. fixedOutput (no CF). Gen = 0.130635 EJ = 4.142 GWa
Reference,Current Measures,Power,Hydropower,Total Annual Acitivity (GWa ),2025,Hard bound (Min/Max),4.555,4.555,GWa,0.219952678,Secondary Energy|Electricity|Hydro,0.125156,EJ,31.70979,3.96867047724,NA,NA,NA,NA,fixedOutput (no CF),NA,FALSE,NA,-0.5863295227599998,-12.872217843249173,UNDER,IAMC 'Secondary Energy|Electricity|Hydro' = 0.125156 EJ * 31.70979 = 3.969 GWa
Reference,Current Measures,Power,Hydropower,Total Capacity (GW),2025,Hard bound (Min/Max),10.635,10.635,GW,NA,Capacity|Electricity|Hydro,35.33015716251483,GW,1,35.33015716251483,Secondary Energy|Electricity|Hydro,0.125156,3.96867047724,NA,fixedOutput (no CF),NA,FALSE,NA,24.695157162514832,232.20646133065196,OVER,IAMC direct = 35.33 GW. fixedOutput (no CF) — no implied GW. Gen = 0.125156 EJ = 3.969 GWa
Reference,Current Measures,Power,Nuclear,Total Annual Acitivity (GWa ),2025,Hard bound (Min/Max),2.643,2.643,GWa,0.12762567,Secondary Energy|Electricity|Nuclear,0.053698,EJ,31.70979,1.7027523034200003,NA,NA,NA,0.9,A23.globaltech_capacity_factor.csv,NA,FALSE,NA,-0.9402476965799995,-35.57501689670827,UNDER,IAMC 'Secondary Energy|Electricity|Nuclear' = 0.053698 EJ * 31.70979 = 1.703 GWa
Reference,Current Measures,Power,Nuclear,Total Capacity (GW),2025,Hard bound (Min/Max),3.262,3.262,GW,NA,Capacity|Electricity|Nuclear,14.73027904254474,GW,1,14.73027904254474,Secondary Energy|Electricity|Nuclear,0.053698,1.7027523034200003,0.9,A23.globaltech_capacity_factor.csv,1.8919470038000004,FALSE,NA,11.46827904254474,351.57201234042736,OVER,IAMC direct = 14.73 GW (gcamreport blended CF). Gen = 0.053698 EJ = 1.703 GWa / CF 0.9000 = 1.9 GW implied (A23.globaltech_capacity_factor.csv)
Reference,Current Measures,Power,Nuclear Power,Additional Capacity (GW),2035,Hard bound (Min/Max),1.1,1.1,GW,NA,Capacity Additions|Electricity|Nuclear,0.01912963098821379,GW,1,0.01912963098821379,Secondary Energy|Electricity|Nuclear,0.04953697999999999,1.5708072330341998,0.9,A23.globaltech_capacity_factor.csv,1.7453413700379996,FALSE,NA,-1.0808703690117862,-98.26094263743511,UNDER,IAMC 'Capacity Additions' = 0.0191 GW/yr (gcamreport annualizes: total_new_vintage / 5). Gen = 0.049537 EJ = 1.571 GWa. CF = 0.9000 (A23.globaltech_capacity_factor.csv)
Reference,Current Measures,Power,RFO,Total Annual Acitivity (GWa ),2025,Hard bound (Min/Max),0.3406,0.3406,GWa,0.016446955,Secondary Energy|Electricity|Oil,0.06108561,EJ,31.70979,1.9370118651219002,NA,NA,NA,0.8,A23.globaltech_capacity_factor.csv,NA,FALSE,NA,1.5964118651219001,468.705773670552,OVER,IAMC 'Secondary Energy|Electricity|Oil' = 0.061086 EJ * 31.70979 = 1.937 GWa
