Scenario,Sector,Technology,Policy Type,Year,MESSAGE Implementation,Target Value,Target Unit,GCAM Share,IAMC Variable,IAMC Raw Value,IAMC Raw Unit,Conversion,GCAM Value,GCAM Unit,Gen Variable,Gen EJ,Gen GWa,CF,CF Source,Gen Implied GW,Gap %,Direction,Calc Note
Current Measures,Power,Hydropower,Total Capacity (GW),2025,Hard bound (Min/Max),10.635,GW,,Capacity|Electricity|Hydro,35.33,GW,1,35.33,GW,Secondary Energy|Electricity|Hydro,0.125156,3.969,NA,fixedOutput (no CF),NA,+232%,OVER,"IAMC direct = 35.33 GW. fixedOutput — no implied GW. Gen = 0.125156 EJ = 3.969 GWa"
Current Measures,Power,Wind,Total Capacity (GW),2025,Hard bound (Min/Max),1.845,GW,,Capacity|Electricity|Wind,6.48,GW,1,6.48,GW,Secondary Energy|Electricity|Wind,0.023831,0.756,0.35,electricity_water.xml (Pak),2.2,+251%,OVER,"IAMC direct = 6.48 GW (gcamreport blended CF). Gen = 0.023831 EJ = 0.756 GWa / CF 0.35 = 2.2 GW implied"
Current Measures,Power,Solar,Total Capacity (GW),2025,Hard bound (Min/Max),28.27,GW,,Capacity|Electricity|Solar,19.79,GW,1,19.79,GW,Secondary Energy|Electricity|Solar,0.042799,1.357,0.2596,electricity_water.xml (Pak),5.2,-30%,UNDER,"IAMC direct = 19.79 GW (gcamreport blended CF). Gen = 0.042799 EJ = 1.357 GWa / CF 0.2596 = 5.2 GW implied"
Current Measures,Power,Nuclear,Total Capacity (GW),2025,Hard bound (Min/Max),3.262,GW,,Capacity|Electricity|Nuclear,14.73,GW,1,14.73,GW,Secondary Energy|Electricity|Nuclear,0.053698,1.703,0.90,A23.globaltech_capacity_factor.csv,1.9,+352%,OVER,"IAMC direct = 14.73 GW (gcamreport blended CF). Gen = 0.053698 EJ = 1.703 GWa / CF 0.90 = 1.9 GW implied"
Current Measures,Power,Bio,Total Capacity (GW),2025,Hard bound (Min/Max),0.278,GW,,Capacity|Electricity|Biomass,0.35,GW,1,0.35,GW,Secondary Energy|Electricity|Biomass,0.001947,0.062,0.85,A23.globaltech_capacity_factor.csv,0.1,+26%,OVER,"IAMC direct = 0.35 GW (gcamreport blended CF). Gen = 0.001947 EJ = 0.062 GWa / CF 0.85 = 0.1 GW implied"
Current Measures,Transport,Electric Vehicles,Total Activity (GWa),2025,Hard bound (Min/Max),0.007907,GWa,0.000296921,Final Energy|Transportation|Light-Duty Vehicle|Electricity,0.037307,EJ,31.70979,1.183,GWa,,,,,,,,+14862%,OVER,"0.037307 EJ * 31.71 = 1.183 GWa. SCOPE MISMATCH: GCAM LDV|Elec includes 2W/3W"
Current Measures,Power,RFO,Total Annual Activity (GWa),2025,Hard bound (Min/Max),0.3406,GWa,0.016446955,Secondary Energy|Electricity|Oil,0.061086,EJ,31.70979,1.937,GWa,,,,,,,,+469%,OVER,"0.061086 EJ * 31.71 = 1.937 GWa"
Current Measures,Power,Gas,Total Annual Activity (GWa),2025,Hard bound (Min/Max),4.9547,GWa,0.239253465,Secondary Energy|Electricity|Gas,0.216373,EJ,31.70979,6.861,GWa,,,,,,,,+38%,OVER,"0.216373 EJ * 31.71 = 6.861 GWa"
Current Measures,Power,Coal,Total Annual Activity (GWa),2025,Hard bound (Min/Max),2.345,GWa,0.113235791,Secondary Energy|Electricity|Coal,0.127030,EJ,31.70979,4.028,GWa,,,,,,,,+72%,OVER,"0.127030 EJ * 31.71 = 4.028 GWa"
Current Measures,Power,Hydropower,Total Annual Activity (GWa),2025,Hard bound (Min/Max),4.555,GWa,0.219952678,Secondary Energy|Electricity|Hydro,0.125156,EJ,31.70979,3.969,GWa,,,,,,,,−13%,UNDER,"0.125156 EJ * 31.71 = 3.969 GWa"
Current Measures,Power,Wind,Total Annual Activity (GWa),2025,Hard bound (Min/Max),0.45,GWa,0.021729683,Secondary Energy|Electricity|Wind,0.023831,EJ,31.70979,0.756,GWa,,,,,,,,+68%,OVER,"0.023831 EJ * 31.71 = 0.756 GWa"
Current Measures,Power,Nuclear,Total Annual Activity (GWa),2025,Hard bound (Min/Max),2.643,GWa,0.12762567,Secondary Energy|Electricity|Nuclear,0.053698,EJ,31.70979,1.703,GWa,,,,,,,,−36%,UNDER,"0.053698 EJ * 31.71 = 1.703 GWa"
Current Measures,Power,Bio,Total Annual Activity (GWa),2025,Hard bound (Min/Max),0.08297,GWa,0.004006471,Secondary Energy|Electricity|Biomass,0.001947,EJ,31.70979,0.062,GWa,,,,,,,,−26%,UNDER,"0.001947 EJ * 31.71 = 0.062 GWa"
Current Measures,Power,Hydropower,Additional Capacity (GW),2030,Hard bound (Min),5.96,GW,,Capacity Additions|Electricity|Hydro,7.3754,GW,1,7.3754,GW,Secondary Energy|Electricity|Hydro,0.130645,4.143,NA,fixedOutput (no CF),NA,+24%,OVER,"IAMC Capacity Additions = 7.38 GW/yr (annualized). Total new in period = 7.38*5? Clarify with MESSAGE team."
Current Measures,Power,Wind,Additional Capacity (GW),2030,Hard bound (Min),0.4358,GW,,Capacity Additions|Electricity|Wind,1.3015,GW,1,1.3015,GW,Secondary Energy|Electricity|Wind,0.078267,2.481,0.35,electricity_water.xml (Pak),7.1,+199%,OVER,"IAMC Capacity Additions = 1.30 GW/yr (annualized). Gen = 0.078267 EJ = 2.481 GWa"
Current Measures,Power,Solar,Additional Capacity (GW),2030,Hard bound (Min),2.6742,GW,,Capacity Additions|Electricity|Solar,6.0458,GW,1,6.0458,GW,Secondary Energy|Electricity|Solar,0.165103,5.235,0.2596,electricity_water.xml (Pak),20.2,+126%,OVER,"IAMC Capacity Additions = 6.05 GW/yr (annualized). Gen = 0.165103 EJ = 5.235 GWa"
