# File: GFED-CMIP6_LUC_emissions.csv
# Title: GFED-CMIP6 LUC Emissions
# Units: kt
# Source: Historic global biomass burning emissions for CMIP6 (BB4CMIP)based on merging satellite observations with proxies and fire models (1750-2015) (van Marle etal 2017 https://doi.org/10.5194/gmd-10-3329-2017)
# Description: CMIP6 emissions data for agr fires processed by in-house processing code to match GCAM country-sector breakdown
# Column types: ccccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
em,iso,sector,unit,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
BC,abw,AGRI,kt,7.22E-06,1.02E-05,5.75E-06,7.39E-06,6.19E-06,7.97E-06,1.08E-05,7.59E-06,5.84E-06,7.18E-06,6.88E-06,8.54E-06,6.28E-06,6.61E-06,6.40E-06,4.71E-06,9.95E-06,1.40E-05,1.27E-05,8.98E-06,1.09E-05,8.53E-06,6.22E-06,9.51E-06,8.84E-06,6.96E-06,5.96E-06,6.44E-06,6.16E-06,5.13E-06,4.96E-06,5.42E-06,9.60E-06,5.68E-06,7.73E-06,6.01E-06,7.97E-06,7.53E-06,5.97E-06,6.34E-06,5.13E-06,5.73E-06,7.63E-06,6.58E-06,6.72E-06,6.22E-06,8.12E-06,6.66E-06,5.57E-06,5.99E-06,6.62E-06,9.66E-06,6.83E-06,6.39E-06,7.77E-06,4.90E-06,6.28E-06,9.17E-06,8.81E-06,7.17E-06,0,0,0,0,0,0,0,0,0,2.22E-05,0,0,8.71E-05,0,0,0
BC,afg,AGRI,kt,0.004747976,0.004516462,0.004501055,0.004596553,0.004768065,0.004625672,0.004739481,0.004119656,0.00450013,0.004132443,0.004442764,0.004401604,0.003914841,0.004110797,0.004370761,0.004436025,0.004387411,0.004644311,0.00398836,0.00413497,0.003668393,0.003849736,0.004043049,0.003635122,0.003792405,0.003849483,0.003442179,0.003541295,0.004025044,0.003422272,0.0036681,0.003504068,0.003346317,0.003389256,0.003332797,0.003323917,0.003783884,0.003687882,0.003994084,0.003870827,0.003319169,0.003268557,0.003639735,0.00339451,0.003425622,0.003461498,0.003287398,0.003166628,0.003307214,0.002897609,0.003233631,0.003453922,0.003230314,0.003091108,0.003220316,0.003272134,0.002950129,0.001618177,0.007705735,0.003051069,0.007449442,0.001655745,0.001233561,0.001470183,0.004884474,0.002760049,0.004103457,0.002516259,0.003399959,0.001371464,0.006528212,0.003024806,0.000771457,0.00187043,0.001403402,0.000616888
BC,ago,AGRI,kt,4.123876295,3.911637693,3.998200804,3.96800913,3.841675993,4.013308653,3.633679366,3.844251217,4.223298716,3.539234881,4.245711989,3.984642177,3.838938205,4.106311859,3.990722199,4.325915678,4.20540727,4.595621366,4.089348665,3.856950965,3.795393177,3.661509447,4.182810935,4.120698546,3.681878177,3.675912435,3.697486604,4.513533757,3.846987246,4.043972131,3.919161892,3.98844509,4.352417226,4.074583095,4.359981271,3.845400594,3.993590215,4.1506735,4.524243512,4.066117839,4.394761929,3.95256795,4.300268602,3.567175837,4.037330016,3.843125322,4.219177916,3.578207079,4.050118771,4.112443852,4.005383519,4.097564175,3.842582681,3.949283797,3.840625751,3.829832409,3.869489525,2.784541828,3.838756796,3.197542694,2.885177168,7.000227946,6.143679401,4.162261078,5.400537549,5.332095778,4.580294768,3.802355769,2.910042001,3.042232392,3.390338948,3.301936533,3.326357455,3.388550077,3.239481714,3.30846544
BC,aia,AGRI,kt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BC,ala,AGRI,kt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BC,alb,AGRI,kt,0.098866765,0.098936066,0.099005366,0.099074667,0.099143968,0.099213268,0.099282569,0.099351869,0.099421168,0.09949047,0.099559769,0.099584385,0.099609,0.099633615,0.09965823,0.099682846,0.099707461,0.099732076,0.099756692,0.099781306,0.099805921,0.099546686,0.099287452,0.099028216,0.098768983,0.098509747,0.098250514,0.097991279,0.097732044,0.097472809,0.097213574,0.097233283,0.097252992,0.097272701,0.097292409,0.097312117,0.097331826,0.097351535,0.097371244,0.097390953,0.097410661,0.098014231,0.098617801,0.099221373,0.099824943,0.100428513,0.101032083,0.101635654,0.102239224,0.102842795,0.103446365,0.104052229,0.104658094,0.105263958,0.105869823,0.106475686,0.107081551,0.060715209,0.091317625,0.109200407,0.351907035,0.04184978,0.002528007,0.073072753,0.020901913,0.043183974,0.015660887,0.584451327,0.068154364,0.032110566,0.050831766,0.199907167,0.277857933,0.013482449,0.015287484,0.028174483
BC,and,AGRI,kt,7.59E-06,7.60E-06,7.61E-06,7.61E-06,7.62E-06,7.62E-06,7.63E-06,7.63E-06,7.64E-06,7.64E-06,7.65E-06,7.65E-06,7.65E-06,7.65E-06,7.66E-06,7.66E-06,7.66E-06,7.66E-06,7.66E-06,7.66E-06,7.67E-06,7.65E-06,7.63E-06,7.61E-06,7.59E-06,7.57E-06,7.55E-06,7.53E-06,7.51E-06,7.49E-06,7.47E-06,7.47E-06,7.47E-06,7.47E-06,7.47E-06,7.48E-06,7.48E-06,7.48E-06,7.48E-06,7.48E-06,7.48E-06,7.53E-06,7.58E-06,7.62E-06,7.67E-06,7.71E-06,7.76E-06,7.81E-06,7.85E-06,7.90E-06,7.95E-06,7.99E-06,8.04E-06,8.09E-06,8.13E-06,8.18E-06,8.23E-06,6.28E-06,9.81E-06,7.14E-06,0,0,0,4.85E-05,0,8.81E-05,0,0,0,0,0,0,0,0,0,0
BC,are,AGRI,kt,6.52E-07,6.52E-07,5.75E-07,5.95E-07,6.35E-07,5.69E-07,6.39E-07,5.27E-07,6.02E-07,5.23E-07,5.07E-07,6.43E-07,5.41E-07,5.32E-07,5.48E-07,5.98E-07,5.23E-07,5.38E-07,4.92E-07,4.76E-07,5.04E-07,4.74E-07,4.68E-07,4.88E-07,4.84E-07,4.94E-07,4.50E-07,4.52E-07,4.91E-07,4.78E-07,4.90E-07,4.56E-07,4.36E-07,4.62E-07,4.32E-07,4.11E-07,5.19E-07,4.66E-07,4.49E-07,4.88E-07,4.36E-07,4.01E-07,4.54E-07,4.38E-07,4.50E-07,4.03E-07,3.99E-07,4.02E-07,4.22E-07,3.93E-07,3.98E-07,4.42E-07,4.56E-07,4.07E-07,4.13E-07,4.70E-07,3.81E-07,2.44E-07,3.48E-07,2.63E-07,2.36E-07,0,0,0,6.49E-06,0,0,0,0,0,0,0,0,0,0,0
BC,arg,AGRI,kt,2.896881198,3.14417716,3.91133512,4.088899146,3.611413035,2.858231308,3.45901192,3.822581254,3.608630255,3.421850728,3.559647231,3.553999519,3.466116653,3.813551037,3.662833192,2.95059154,3.341001676,2.516054125,3.319490271,3.505900654,3.847204256,3.537634168,4.347820925,2.819779313,3.208026563,3.132154798,3.834543105,3.397104826,3.215637571,3.205510653,3.178265836,2.705838139,2.590147446,3.002480247,2.959254539,2.750999472,2.794088721,3.099151541,2.9530839,3.027186374,3.048360595,2.448270731,2.57317687,3.123951554,3.447178337,3.197639063,3.139473083,3.82713846,2.782951456,2.633151129,2.987023215,2.483367357,2.999809088,2.972065329,3.399571936,2.669389512,3.124248576,3.290648332,3.608968829,3.310770542,3.813404055,2.535187717,3.862941916,3.973463254,3.844869903,2.375159289,2.674875159,2.909663982,3.902017835,3.94130173,2.166814499,2.509066615,2.195828707,3.066587842,1.399261977,1.562902016
BC,arm,AGRI,kt,0.051689291,0.057972848,0.057042573,0.057465552,0.054766684,0.056779907,0.052473138,0.047267361,0.055575006,0.051003948,0.058879177,0.048019532,0.04841757,0.053644873,0.057699088,0.049824552,0.051425106,0.055082068,0.052591472,0.050036371,0.046978032,0.046177954,0.048410291,0.042971715,0.049753465,0.049744585,0.042529889,0.045772762,0.051918052,0.043935289,0.050298435,0.051935777,0.039801128,0.046682147,0.047539879,0.03960015,0.045779103,0.04509705,0.052915672,0.047418878,0.045600983,0.043993412,0.04037149,0.042175296,0.039135842,0.048291762,0.045212879,0.044293605,0.043507015,0.034232086,0.044828937,0.046021059,0.03792253,0.043281705,0.046092558,0.045381202,0.043290355,0.046629563,0.070219756,0.036061551,0.044078377,0.070366391,0.020160534,0.011009284,0.048038053,0.048968776,0.051669851,0.017896719,0.043026429,0.010874245,0.127218361,0.035020991,0.030496317,0.071313956,0.032139844,0.041138975
